id,brand_name,items_Decribtion,ratings,prices,Category
105,AMD,Refurbished: AMD Phenom II X6 1055T Thuban 6-Core 2.8GHz (3.3GHz Turbo Boost) Socket AM3 95W HDT55TWFK6DGR Desktop Processor,,89.83,cpu
106,AMD,Refurbished: AMD Athlon 64 X2 4000+ Brisbane Dual-Core 2.1 GHz Socket AM2 65W ADO4000IAA5DD Processor,,150.00,cpu
107,AMD,Refurbished: AMD Athlon II X 260 Regor Dual-Core 3.2 GHz Socket AM3 65W ADX260OCK23GM Desktop Processor,,84.39,cpu
108,AMD,Refurbished: Intel Celeron G1820 Processor 2.7GHz 5.0GT/s 2MB LGA 1150 CPU BX80646G1820,,84.39,cpu
109,AMD,Refurbished: Intel Core i5-7640X X-Series Processor 4 Cores up to 4.2 GHz Turbo Unlocked LGA2066 X299 Series 112W,,131.28,cpu
110,AMD,Refurbished: AMD Athlon II X4 650 Propus Quad-Core 3.2 GHz Socket AM3 95W ADX650WFK42GM Desktop Processor,,105.03,cpu
111,AMD,Refurbished: AMD Athlon 64 X2 4800+ Brisbane Dual-Core 2.5 GHz Socket AM2 65W ADO4800IAA5DO Processor,,48.72,cpu
112,AMD,Refurbished: AMD Athlon 64 X2 5400+ Brisbane Dual-Core 2.8 GHz Socket AM2 65W ADO5400IAA5DO Desktop Processor,,74.98,cpu
113,AMD,Refurbished: AMD Athlon II X2 255 Regor Dual-Core 3.1 GHz Socket AM3 65W ADX2550CK23GM Desktop Processor,,37.47,cpu
114,AMD,Refurbished: AMD Athlon II X2 220 Regor Dual-Core 2.8 GHz Socket AM3 65W ADX220OCK22GM Desktop Processor,,48.72,cpu
115,Intel,Refurbished: AMD Phenom 9650 Agena Quad-Core 2.3 GHz Socket AM2+ HD9650WCJ4BGH Desktop Processor,,183.75,cpu
116,AMD,Refurbished: AMD Phenom 8650 Toliman Triple-Core 2.3 GHz Socket AM2+ 95W HD8650WCJ3BGH Desktop Processor,,302.99,cpu
117,Intel,Refurbished: AMD Phenom 9600 Agena Quad-Core 2.3 GHz Socket AM2+ HD960ZWCJ4BGD Desktop Processor,,"2,758.87",cpu
118,Intel,Refurbished: AMD Phenom X4 9750 Agena Quad-Core 2.4 GHz Socket AM2+ 95W HD9750WCJ4BGH Desktop Processor,,"2,575.55",cpu
119,,Refurbished: AMD Phenom X4 9550 Agena Quad-Core 2.2 GHz Socket AM2+ 95W HD9550WCJ4BGH Desktop Processor,,,cpu
120,,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,,,cpu
121,,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,,,cpu
122,,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,,,cpu
123,,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,,,cpu
124,,Refurbished: AMD Phenom X4 9500 Agena Quad-Core 2.2 GHz Socket AM2+ 95W HD9500WCJ4BGD Desktop Processor,,,cpu
125,,Refurbished: AMD Phenom II X4 830 Deneb Quad-Core 2.8 GHz Socket AM3 95W HDX830WFK4DGM Desktop Processor,,,cpu
126,,Refurbished: AMD Phenom II X4 820 Deneb Quad-Core 2.8 GHz Socket AM3 95W HDX820WFK4FGI Desktop Processor,,,cpu
127,,Refurbished: AMD Athlon 64 X2 4400+ Brisbane Dual-Core 2.3 GHz Socket AM2 ADO4400IAA5DD Processor,,,cpu
128,,Refurbished: AMD Athlon II X2 245e Regor Dual-Core 2.9 GHz Socket AM3 45W AD245EHDK23GM Desktop Processor,,,cpu
129,,Refurbished: AMD Phenom 8450 Toliman Triple-Core 2.1 GHz Socket AM2+ HD8450WCJ3BGH Desktop Processor,,,cpu
130,,Refurbished: AMD Athlon 64 X2 4200+ Brisbane Dual-Core 2.2 GHz Socket AM2 ADO4200IAA5DD Desktop Processor,,,cpu
131,,Refurbished: Intel Core 2 Duo E7200 Wolfdale-3M Dual-Core 2.53 GHz LGA 775 65W SLAPC Desktop Processor,,,cpu
132,,AMD A8-9600 Bristol Ridge Quad-Core 3.1 GHz Socket AM4 65W AD9600AGABBOX Desktop Processor Radeon R7,,,cpu
133,,Intel Core i7-7820X Skylake-X 8-Core 3.6 GHz LGA 2066 140W BX80673I77820X Desktop Processor,,,cpu
134,,Intel Xeon W2133 Processor Tray CD8067303533204,,,cpu
0,Sapphire Tech,CORSAIR Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28...,(1),"1,058.99",gpu
1,MSI,Kingston 16GB (2 x 8GB) 240-Pin DDR3 SDRAM DDR3L 1600 (PC3L 12800) Desktop Me...,(2),"1,542.99",gpu
2,GIGABYTE,CORSAIR Vengeance LPX 32GB (4 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600)...,(5),"1,096.99",gpu
3,Sapphire Tech,CORSAIR Vengeance LPX 128GB (4 x 32GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 2560...,(11),586.99,gpu
4,EVGA,SAPPHIRE PULSE Radeon RX 5600 XT DirectX 12 100419P6GL 6GB 192-Bit GDDR6 PCI Express 4.0 ATX Video Card,(1),"1,208.99",gpu
5,ASRock,MSI GeForce RTX 2070 DirectX 12 RTX 2070 TRI FROZR 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,(20),756.99,gpu
6,GIGABYTE,GIGABYTE Radeon RX 5600 XT DirectX 12 GV-R56XTGAMING OC-6G 6GB 192-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,(3),453.99,gpu
7,ASRock,SAPPHIRE PULSE Radeon RX 570 DirectX 12 11266-66-20G 8GB 256-Bit GDDR5 PCI Express 3.0 CrossFireX Support Video Card,(2),"1,021.99",gpu
8,EVGA,"EVGA GeForce RTX 2060 KO ULTRA GAMING Video Card, 06G-P4-2068-KR, 6GB GDDR6, Dual Fans, Metal Backplate",(2),"1,511.99",gpu
9,MSI,"ASRock Phantom Gaming D Radeon RX 5500 XT 8G OC Video Card, RX5500XT PGD 8GO",(2),754.99,gpu
10,EVGA,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD REV2.0 4GB 256-Bit GDDR5 PCI Express 3.0 x16 ATX Video Card,(1),794.99,gpu
11,MSI,ASRock Challenger D Radeon RX 5600 XT DirectX 12 RX5600XT CLD 6GO 6GB 192-Bit GDDR6 PCI Express 4.0 x16 HDCP Ready Video Card,(1),"1,586.99",gpu
12,GIGABYTE,"EVGA GeForce RTX 2060 SUPER SC BLACK GAMING Video Card, 08G-P4-3062-KR, 8GB GDDR6, Dual Fans",(2),"1,511.99",gpu
13,GIGABYTE,MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT MECH 8G OC 8GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,(18),"2,795.99",gpu
14,Sapphire Tech,"EVGA GeForce GTX 1660 BLACK GAMING Video Card, 06G-P4-1160-KR, 6GB GDDR5, Single Fan",(2),"1,624.99",gpu
15,MSI,MSI GeForce RTX 2070 DirectX 12 RTX 2070 VENTUS GP 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,(103),"2,022.99",gpu
16,GIGABYTE,"GIGABYTE GeForce RTX 2070 WINDFORCE 8G (Rev 3.0) Graphics Card, 2 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N2070WF2-8GD (Rev 3.0) Video Card",(34),868.99,gpu
17,Sapphire Tech,"GIGABYTE GeForce RTX 2080 SUPER GAMING OC WHITE 8G Graphics Card, 3 x WINDFORCE Fans, 8GB 256-Bit GDDR6, GV-N208SGAMINGOC WHITE-8GD Video Card",(1),"1,700.99",gpu
18,MSI,SAPPHIRE NITRO+ Radeon RX 5700 XT 100416NT+8GSR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,(14),679.99,gpu
19,GIGABYTE,MSI GeForce RTX 2070 SUPER DirectX 12 RTX 2070 Super GAMING X 8GB 256-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready SLI Support Video Card,(1),791.99,gpu
20,MSI,"GIGABYTE GeForce GTX 1660 SUPER MINI ITX OC 6G Graphics Card, 170mm Compact Size, 6GB 192-Bit GDDR6, GV-N166SIXOC-6GD Video Card",(4),680.99,gpu
21,GIGABYTE,"SAPPHIRE NITRO+ Radeon RX 5700 XT DirectX 12 100416NT+SESR 8GB 256-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card, SPECIAL EDITION",(6),"1,058.99",gpu
22,Sapphire Tech,MSI Radeon RX 5500 XT DirectX 12 RX 5500 XT MECH 4G OC 4GB 128-Bit GDDR6 PCI Express 4.0 HDCP Ready Video Card,(40),"1,548.99",gpu
23,GIGABYTE,GIGABYTE Radeon RX 5500 XT DirectX 12 GV-R55XTOC-8GD 8GB 128-Bit GDDR6 PCI Express 4.0 x16 ATX Video Card,(72),604.99,gpu
24,Sapphire Tech,MSI GeForce GTX 1650 SUPER DirectX 12 GTX 1650 Super Gaming X 4GB 128-Bit GDDR6 PCI Express 3.0 x16 HDCP Ready Video Card,(12),680.99,gpu
25,MSI,"GIGABYTE GeForce GTX 1660 Ti OC 6G Graphics Card, 2 x WINDFORCE Fans, 6GB 192-Bit GDDR6, GV-N166TOC-6GD Video Card",(2),"1,246.99",gpu
